"","Time","Name","Instructor","Location"
"Saturday, 15 February 2025","09:00 - 09:45","VIRTUAL REFORMER","VIRTUAL INSTRUCTOR","BROADBEACH"
"Saturday, 15 February 2025","09:00 - 09:45","BODYPUMP","HELEN","PALMERSTON (IFITNESS 247)"
"Saturday, 15 February 2025","09:00 - 09:45","GENTLE FLOW YOGA","BRAYLEY","DARWIN CITY (IFITNESS 247)"
"Saturday, 15 February 2025","09:00 - 09:55","BODYPUMP","TBA","BROADBEACH"
"Saturday, 15 February 2025","09:00 - 09:45","LIME LIFT","CHAD","ROSEBERY"
"Saturday, 15 February 2025","09:00 - 09:30","LIME BOX","JULIE","PORT KENNEDY"
"Saturday, 15 February 2025","09:00 - 09:45","BODYPUMP","SAMANTHA","KENNEDY PARK"
"Saturday, 15 February 2025","09:00 - 09:45","STRENGTH & CONDITIONING","SOFIA","WILLIAMSTOWN"
"Saturday, 15 February 2025","09:00 - 09:45","BEATS RHYTHM CYCLE","HANNAH","BUTLER"
"Saturday, 15 February 2025","09:00 - 09:45","CLUB FIESTA","HALA","BUTLER"
"Saturday, 15 February 2025","09:00 - 09:45","BEATS RHYTHM CYCLE","ANTO","CLARKSON"
"Saturday, 15 February 2025","09:00 - 10:00","BODYPUMP","PAV","CLARKSON"
"Saturday, 15 February 2025","09:00 - 09:45","BODYPUMP","SAM","WANNEROO"
"Saturday, 15 February 2025","09:00 - 09:45","REFORMER PILATES","MEGAN","BUTLER"
"Saturday, 15 February 2025","09:00 - 09:45","REFORMER PILATES","CHRISSIE","CLARKSON"
"Saturday, 15 February 2025","09:00 - 09:45","LIME CIRCUIT","LUCAS","ALBION PARK"
"Saturday, 15 February 2025","09:00 - 09:30","S-CONNECT CONTENDER","TAMARA","BUTLER"
"Saturday, 15 February 2025","09:15 - 10:15","PILATES","VIEN","BURWOOD"
"Saturday, 15 February 2025","09:15 - 10:15","SHRED","RICHIE","HIIT REPUBLIC CANBERRA CITY"
"Saturday, 15 February 2025","09:15 - 10:00","BODYPUMP","JESS","SUNNYBANK HILLS (HEALTHWORKS)"
"Saturday, 15 February 2025","09:15 - 10:15","BLEND","LINDA","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","09:15 - 10:00","LIME CIRCUIT","SIERRA","MANDURAH"
"Saturday, 15 February 2025","09:15 - 10:05","REFORMER PILATES","REBECCA","MENTONE"
"Saturday, 15 February 2025","09:15 - 10:00","REFORMER","KATY","WILLIAMSTOWN"
"Saturday, 15 February 2025","09:15 - 10:00","RPM","ZONA","WILLIAMSTOWN"
"Saturday, 15 February 2025","09:15 - 10:00","REFORMER PILATES","LEILANE","WANNEROO"
